,GeneID,Chromosome,Start,End,Strand,RT_ESC_RANK_median,probe_dist,FamilyAge,GeneAge,BirthType,GeneAge_GROUPED
ENSG00000074054,ENSG00000074054,2,122095352,122407163,-1,0.193098975379785,1154.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074071,ENSG00000074071,16,1821891,1823156,-1,0.243816265042127,4.5,Chordata,Chordata,Singleton,Old
ENSG00000074181,ENSG00000074181,19,15270444,15311792,-1,0.25832882680546,152,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074201,ENSG00000074201,11,77225981,77348850,-1,0.118671296709641,558.5,Bilateria,Bilateria,Singleton,Old
ENSG00000074211,ENSG00000074211,4,6322305,6565327,-1,0.427297484964234,515,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000074219,ENSG00000074219,19,49843852,49865714,-1,0.030319025165161,133,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074266,ENSG00000074266,11,85955586,85989855,1,0.343696497028467,370.5,Bilateria,Bilateria,Singleton,Old
ENSG00000074276,ENSG00000074276,5,175969512,176022975,1,0.129267805256932,884.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074317,ENSG00000074317,5,176047085,176057530,-1,0.145246357114076,58.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000074319,ENSG00000074319,11,18489883,18548779,-1,0.393716180802053,597,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000074356,ENSG00000074356,17,3714460,3749545,-1,0.0290623630983139,385.5,Chordata,Chordata,Singleton,Old
ENSG00000074370,ENSG00000074370,17,3827169,3867736,-1,0.0853955420763212,566.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000074410,ENSG00000074410,15,63613577,63674360,-1,0.00878090595319657,34.5,Chordata,Euteleostomi,Duplicate,Old
ENSG00000074416,ENSG00000074416,3,127407909,127542051,-1,0.549360936568288,681,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000074527,ENSG00000074527,12,96051583,96184930,-1,0.128851230918189,362.5,Chordata,Chordata,Duplicate,Old
ENSG00000074582,ENSG00000074582,2,219523487,219528166,1,0.0430787827424886,354.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000074590,ENSG00000074590,12,106457118,106533811,-1,0.684540119046352,135.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000074603,ENSG00000074603,15,65734801,65810042,-1,0.05818347682519,23.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074621,ENSG00000074621,15,65903704,65953333,1,0.0104647822364005,310.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074657,ENSG00000074657,18,56529832,56653712,1,0.00959370008220464,190,Chordata,Euteleostomi,Duplicate,Old
ENSG00000074660,ENSG00000074660,17,1537152,1549041,-1,0.0308394539614808,843.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074695,ENSG00000074695,18,56995055,57027194,-1,0.444349739253608,976.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074696,ENSG00000074696,15,65822756,65870687,1,0.019998112578232,263.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000074706,ENSG00000074706,6,154475631,154677926,-1,0.87110378090364,30.5,Bilateria,HomoSapiens,Duplicate,Recent
ENSG00000074755,ENSG00000074755,17,3907739,4046314,-1,0.0207757488507775,207.5,Chordata,Euteleostomi,Duplicate,Old
ENSG00000074771,ENSG00000074771,6,155716504,155777037,-1,0.493052159918285,641.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074800,ENSG00000074800,1,8921061,8939308,-1,0.0672382439760945,83.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000074803,ENSG00000074803,15,48483861,48596275,1,0.37273457344962,509,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074842,ENSG00000074842,19,4641386,4670382,-1,0.09270132151906,292,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000074855,ENSG00000074855,19,17434032,17445638,-1,0.121105168713764,754,Bilateria,Bilateria,Duplicate,Old
ENSG00000074935,ENSG00000074935,6,112391980,112408732,-1,0.165793579897848,34,Bilateria,Bilateria,Duplicate,Old
ENSG00000074964,ENSG00000074964,1,17866330,18024369,1,0.0513134697612365,270.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000074966,ENSG00000074966,4,48068410,48136273,-1,0.244644556384181,379.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000075035,ENSG00000075035,12,108523248,108644314,1,0.535387539037942,266,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075043,ENSG00000075043,20,62037542,62103993,-1,0.16480765645593,83.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075073,ENSG00000075073,10,71163659,71176623,-1,0.150114910678227,670,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075089,ENSG00000075089,12,100592900,100635643,1,0.281898815689101,609.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000075131,ENSG00000075131,15,66628544,66679084,-1,0.134917348968094,4169,Bilateria,Bilateria,Singleton,Old
ENSG00000075142,ENSG00000075142,7,87834433,87856308,-1,0.676432185352219,588.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000075151,ENSG00000075151,1,21132963,21503377,-1,0.0771980946292211,221,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000075188,ENSG00000075188,12,102467967,102513902,-1,0.635439859479599,124.5,Bilateria,Bilateria,Singleton,Old
ENSG00000075213,ENSG00000075213,7,83585093,84122040,-1,0.226866477400206,389.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000075218,ENSG00000075218,22,46692638,46726707,1,0.297136623892816,148.5,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000075223,ENSG00000075223,7,80371854,80551675,-1,0.710599029735682,98.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000075234,ENSG00000075234,22,46663858,46689905,1,0.280687141800424,152.5,Bilateria,Bilateria,Singleton,Old
ENSG00000075239,ENSG00000075239,11,107992243,108018503,1,0.214699777348995,512,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000075240,ENSG00000075240,22,46971909,47075688,1,0.212414054075559,328.5,Bilateria,Bilateria,Singleton,Old
ENSG00000075275,ENSG00000075275,22,46756731,46933067,-1,0.253593849965698,402,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075290,ENSG00000075290,10,102222798,102243501,1,0.143918107175025,66.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075292,ENSG00000075292,2,71503691,71662199,1,0.106350896687251,917,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000075303,ENSG00000075303,7,87462883,87505672,-1,0.505019477915084,430.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000075336,ENSG00000075336,18,71815746,71826197,1,0.752218414482446,241.5,Bilateria,Bilateria,Singleton,Old
ENSG00000075340,ENSG00000075340,2,70834750,70995357,-1,0.122937771981872,508.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075388,ENSG00000075388,11,69587797,69590171,-1,0.365256589900721,63,Chordata,Euteleostomi,Duplicate,Old
ENSG00000075391,ENSG00000075391,1,178062864,178448644,1,0.221231274393655,344,Fungi-Metazoa_group,Chordata,Duplicate,Old
ENSG00000075399,ENSG00000075399,16,89773542,89787394,-1,0.114291021007282,432,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000075407,ENSG00000075407,10,38383264,38414472,1,0.818651150332681,1793,Bilateria,Eutheria,Duplicate,Middle
ENSG00000075413,ENSG00000075413,14,103851729,103970168,1,0.0297874938878529,372.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075415,ENSG00000075415,12,98987369,98995946,1,0.134794643423006,630.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000075420,ENSG00000075420,3,171757418,172119455,1,0.434211092396234,476.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075426,ENSG00000075426,2,28615315,28640179,1,0.433842050554222,148,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075429,ENSG00000075429,17,64831235,64881603,1,0.23893984722061,603,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000075461,ENSG00000075461,17,64961026,65029514,1,0.140220518402594,36,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000075539,ENSG00000075539,4,48499378,48782339,-1,0.188401238111672,989.5,Fungi-Metazoa_group,Chordata,Duplicate,Old
ENSG00000075568,ENSG00000075568,2,98372799,98612388,-1,0.507822623062906,2815.5,Bilateria,Chordata,Duplicate,Old
ENSG00000075618,ENSG00000075618,7,5632439,5646286,1,0.150781869093422,1394.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075624,ENSG00000075624,7,5566782,5603415,-1,0.197875933475784,154.5,Fungi-Metazoa_group,Sarcopterygii,Duplicate,Old
ENSG00000075643,ENSG00000075643,18,33767482,33852120,1,0.103935413167265,184,Bilateria,Bilateria,Duplicate,Old
ENSG00000075651,ENSG00000075651,3,171318195,171528740,-1,0.325450726032866,397.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000075673,ENSG00000075673,13,25254549,25285921,1,0.534925166965123,37,Fungi-Metazoa_group,Chordata,Duplicate,Old
ENSG00000075702,ENSG00000075702,19,36545783,36596008,1,0.026710950145697,307.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075711,ENSG00000075711,3,196769431,197026171,-1,0.275447002075701,761,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075785,ENSG00000075785,3,128444965,128533639,1,0.0635364917732929,132,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000075790,ENSG00000075790,7,107220422,107269615,1,0.520103470496776,415.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075826,ENSG00000075826,10,102246399,102289628,-1,0.133691565676495,498.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000075856,ENSG00000075856,12,108916357,108955176,-1,0.0629544210773201,1066.5,Bilateria,Bilateria,Singleton,Old
ENSG00000075884,ENSG00000075884,2,143848931,144525921,1,0.841966476058656,248,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000075886,ENSG00000075886,2,132233666,132240507,1,0.57095479948688,284.5,Bilateria,Hominidae,Duplicate,Recent
ENSG00000075891,ENSG00000075891,10,102495360,102589698,1,0.153778613753476,486,Bilateria,Bilateria,Duplicate,Old
ENSG00000075914,ENSG00000075914,3,45016733,45077558,1,0.147321364550426,320.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000075945,ENSG00000075945,1,169890467,170054349,-1,0.677856541142325,110,Bilateria,Bilateria,Singleton,Old
ENSG00000075975,ENSG00000075975,3,12598513,12625212,1,0.103550064556301,109.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076003,ENSG00000076003,2,136597196,136633996,-1,0.123725007274438,97,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000076043,ENSG00000076043,11,114310108,114321001,1,0.438661336858988,155.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000076053,ENSG00000076053,11,114270752,114284925,1,0.43477153638445,517.5,Fungi-Metazoa_group,HomoSapiens,Duplicate,Recent
ENSG00000076067,ENSG00000076067,12,56915713,56984745,1,0.0538332703421738,561,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000076108,ENSG00000076108,12,56989380,57030600,-1,0.0377455440886459,461,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076201,ENSG00000076201,3,47422501,47454931,1,0.0528017804678678,361,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000076242,ENSG00000076242,3,37034823,37107380,1,0.192356612614547,1024.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000076248,ENSG00000076248,12,109535379,109548797,1,0.336922133212193,344,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000076258,ENSG00000076258,1,171283347,171311223,1,0.249211145595623,879,Fungi-Metazoa_group,Tetrapoda,Duplicate,Middle
ENSG00000076321,ENSG00000076321,1,173684080,173755840,1,0.220757337236472,474,Bilateria,Bilateria,Duplicate,Old
ENSG00000076344,ENSG00000076344,16,318300,325980,-1,0.0800125735597191,734,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076351,ENSG00000076351,17,26721661,26734215,-1,0.103416834784443,219,Bilateria,Chordata,Duplicate,Old
ENSG00000076356,ENSG00000076356,1,208195587,208417665,-1,0.717948062593938,480,Bilateria,Chordata,Duplicate,Old
ENSG00000076513,ENSG00000076513,12,110436991,110477568,1,0.0137965673904405,485.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076554,ENSG00000076554,8,80870571,81143467,-1,0.248463809844108,485,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076555,ENSG00000076555,12,109554400,109706031,1,0.330073752855997,41.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000076604,ENSG00000076604,17,27071002,27077974,1,0.0482624848555221,265,Bilateria,Bilateria,Duplicate,Old
ENSG00000076641,ENSG00000076641,8,81880045,82024303,-1,0.628856319555309,551,Euteleostomi,Euteleostomi,Singleton,Old
ENSG00000076650,ENSG00000076650,19,33571786,33621448,1,0.164758967450764,900,Bilateria,Bilateria,Singleton,Old
ENSG00000076662,ENSG00000076662,19,10444452,10450499,-1,0.113682003664744,639.5,Tetrapoda,Eutheria,Duplicate,Middle
ENSG00000076685,ENSG00000076685,10,104845940,104953056,-1,0.0555193439914066,556,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076706,ENSG00000076706,11,119179241,119192231,-1,0.0251889850435703,312,Chordata,Euteleostomi,Duplicate,Old
ENSG00000076716,ENSG00000076716,X,132434131,132549518,-1,0.0293186453677905,119.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076770,ENSG00000076770,X,131503345,131623996,-1,0.384858135736157,220.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076826,ENSG00000076826,19,7660788,7683190,1,0.211733333209972,228,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076864,ENSG00000076864,1,21922708,21995801,-1,0.0746208155790013,317.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076924,ENSG00000076924,19,7684411,7694451,-1,0.195749230112334,641,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000076928,ENSG00000076928,19,42387228,42434302,1,0.107254708030193,281,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000076944,ENSG00000076944,19,7701767,7712759,1,0.177800913086541,93,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000076984,ENSG00000076984,19,7968728,7979363,1,0.141947995053845,356.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000077009,ENSG00000077009,19,3933101,3942414,1,0.118165439919618,909.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077044,ENSG00000077044,2,234263153,234380750,1,0.392072319710744,133.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077063,ENSG00000077063,7,117350705,117514193,-1,0.584906917261999,8,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077080,ENSG00000077080,7,100240720,100254084,-1,0.149798836922596,115,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000077092,ENSG00000077092,3,25215823,25639423,1,0.659273416635865,447,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077097,ENSG00000077097,3,25639475,25706398,-1,0.516911391561837,160.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000077147,ENSG00000077147,10,98277866,98347209,-1,0.244527633381275,200.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000077150,ENSG00000077150,10,104153867,104162281,1,0.0875896698816061,388,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077152,ENSG00000077152,1,202300785,202311108,-1,0.0948089424933119,80.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000077157,ENSG00000077157,1,202317827,202561834,1,0.148624518256411,445.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077232,ENSG00000077232,2,183580999,183659191,1,0.222189441633101,398,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000077235,ENSG00000077235,16,27470876,27561234,-1,0.464692953949222,243,Bilateria,Bilateria,Singleton,Old
ENSG00000077238,ENSG00000077238,16,27324989,27376099,1,0.373706965742832,477,Sarcopterygii,Sarcopterygii,Singleton,Old
ENSG00000077254,ENSG00000077254,1,78161672,78225537,-1,0.179551404255674,495.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000077264,ENSG00000077264,X,110187513,110470589,1,0.4576989691809,180,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077274,ENSG00000077274,X,110488331,110513751,-1,0.270542365448339,597,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000077279,ENSG00000077279,X,110537007,110655603,-1,0.194383393649103,557,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000077312,ENSG00000077312,19,41256542,41271294,1,0.137143049453688,520,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000077327,ENSG00000077327,10,22634399,22743153,1,0.565527999300544,289,Bilateria,Bilateria,Duplicate,Old
ENSG00000077348,ENSG00000077348,19,41892279,41903384,-1,0.105056185492851,408.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000077380,ENSG00000077380,2,172543919,172604930,1,0.19931752124159,223.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077420,ENSG00000077420,10,26727132,26856732,1,0.699051292999562,268,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077454,ENSG00000077454,7,100169855,100183776,-1,0.102151036300949,504.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000077458,ENSG00000077458,11,95502106,95523573,-1,0.331870388711738,499.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077463,ENSG00000077463,19,4174106,4182601,-1,0.114571821255607,593.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000077498,ENSG00000077498,11,88910620,89028927,1,0.677522425855087,325.5,Chordata,Chordata,Duplicate,Old
ENSG00000077514,ENSG00000077514,11,74204896,74380162,1,0.295286210394791,110,Chordata,Chordata,Singleton,Old
ENSG00000077522,ENSG00000077522,1,236849754,236927931,1,0.365214724295327,381.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077549,ENSG00000077549,1,19665267,19812066,-1,0.0947244017266209,614.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000077585,ENSG00000077585,1,236305832,236385165,1,0.436304141364189,752.5,Chordata,Euteleostomi,Duplicate,Old
ENSG00000077616,ENSG00000077616,11,89864683,89926062,1,0.622187891911796,116.5,Fungi-Metazoa_group,Tetrapoda,Duplicate,Middle
ENSG00000077684,ENSG00000077684,4,129730779,129796379,1,0.0963947468611205,525,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077713,ENSG00000077713,X,118533023,118588441,1,0.201142722855707,407,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000077721,ENSG00000077721,X,118708501,118718381,1,0.156559206986791,274,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000077782,ENSG00000077782,8,38268656,38326352,-1,0.0181332427247524,212,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000077800,ENSG00000077800,7,72742167,72772634,1,0.129206394658966,276.5,Bilateria,Chordata,Duplicate,Old
ENSG00000077809,ENSG00000077809,7,74071994,74175026,1,0.0787885250307747,103,Euteleostomi,Sarcopterygii,Duplicate,Old
ENSG00000077935,ENSG00000077935,22,45739944,45809500,-1,0.0971823291062177,83,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000077942,ENSG00000077942,22,45898118,45997015,1,0.143891623131834,145.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000077943,ENSG00000077943,10,15555948,15762124,-1,0.813198675659059,388,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000077984,ENSG00000077984,20,24929866,24940564,1,0.659422606224143,483,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000078018,ENSG00000078018,2,210288782,210598842,1,0.550122150421039,208,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078043,ENSG00000078043,18,44388353,44500123,-1,0.274296738784991,141,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000078053,ENSG00000078053,7,38423305,38671167,-1,0.673264855697816,131,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078061,ENSG00000078061,X,47420516,47431307,1,0.170216183808975,1294.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078070,ENSG00000078070,3,182733006,182833863,-1,0.190043248789483,1359.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000078081,ENSG00000078081,3,182840001,182881627,-1,0.156679136911632,188,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078098,ENSG00000078098,2,163027194,163101661,-1,0.852759012785894,449.5,Fungi-Metazoa_group,Tetrapoda,Duplicate,Middle
ENSG00000078114,ENSG00000078114,10,21068902,21463116,-1,0.245305038352133,93,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078124,ENSG00000078124,11,76571911,76737841,1,0.293776735583775,264,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000078140,ENSG00000078140,4,39699664,39784412,1,0.102274667052787,443,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000078142,ENSG00000078142,18,39535171,39667794,1,0.773402179509538,136.5,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000078177,ENSG00000078177,4,40058446,40159872,1,0.133196001811554,2352,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078237,ENSG00000078237,12,4430371,4462338,1,0.0972606247273532,419.5,Fungi-Metazoa_group,FungiMetazoa,Singleton,Old
ENSG00000078246,ENSG00000078246,12,2986389,3050306,1,0.132783822204869,341.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078269,ENSG00000078269,6,158402888,158520208,1,0.0536726313203764,45,Fungi-Metazoa_group,Chordata,Duplicate,Old
ENSG00000078295,ENSG00000078295,5,7396321,7830194,1,0.190971231158743,203.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078304,ENSG00000078304,14,102228135,102394326,1,0.0491895420180332,411.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000078328,ENSG00000078328,16,6069095,7763340,1,0.947233377388594,48.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078369,ENSG00000078369,1,1716729,1822495,-1,0.117819065642956,644,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078401,ENSG00000078401,6,12290596,12297427,1,0.44352260441999,335.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000078403,ENSG00000078403,10,21823094,22032559,1,0.127612263430417,78.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000078487,ENSG00000078487,7,99998449,100026615,-1,0.0590758387346132,1087,Chordata,Euteleostomi,Duplicate,Old
ENSG00000078549,ENSG00000078549,7,31092076,31151089,1,0.394977237600957,727.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000078579,ENSG00000078579,8,16849678,16859690,-1,0.580125217481411,389,Chordata,Euteleostomi,Duplicate,Old
ENSG00000078589,ENSG00000078589,X,78200829,78217451,1,0.761314468984525,181,Euteleostomi,Theria,Duplicate,Middle
ENSG00000078596,ENSG00000078596,X,78615881,78623164,-1,0.813927160323064,92.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078618,ENSG00000078618,1,52254863,52344477,-1,0.0363484818976361,114,Fungi-Metazoa_group,Bilateria,Duplicate,Old
ENSG00000078668,ENSG00000078668,8,42249142,42263415,1,0.207423488871382,33.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000078674,ENSG00000078674,8,17780349,17885478,1,0.336670476976461,228.5,Chordata,Chordata,Singleton,Old
ENSG00000078687,ENSG00000078687,17,76000249,76104916,1,0.0397881692887797,287.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078699,ENSG00000078699,20,32077881,32237842,1,0.0594416423530043,536.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078725,ENSG00000078725,9,121915736,122131745,-1,0.540458597229283,15.5,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000078747,ENSG00000078747,20,32951041,33099198,1,0.0716389898777755,397.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000078795,ENSG00000078795,5,137223657,137278436,1,0.153787981471809,1499.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078804,ENSG00000078804,20,33292094,33301243,1,0.00878576328862887,618.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078808,ENSG00000078808,1,1152288,1167411,-1,0.189655587161646,847.5,Bilateria,Bilateria,Duplicate,Old
ENSG00000078814,ENSG00000078814,20,33563206,33590240,1,0.0137898596415102,361,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000078898,ENSG00000078898,20,31595406,31611515,1,0.126225378513646,369.5,Tetrapoda,Tetrapoda,Duplicate,Middle
ENSG00000078900,ENSG00000078900,1,3569084,3652765,1,0.250279065485671,1051.5,Chordata,Euteleostomi,Duplicate,Old
ENSG00000078902,ENSG00000078902,11,1295601,1330884,-1,0.516655803197422,220.5,Bilateria,Bilateria,Singleton,Old
ENSG00000078967,ENSG00000078967,7,43966037,43995735,1,0.0908835215589366,425,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000079101,ENSG00000079101,18,596988,650334,1,0.140582389892301,859,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000079102,ENSG00000079102,8,92967203,93115514,-1,0.422021030874612,222.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000079112,ENSG00000079112,8,95139399,95229531,-1,0.357611606533625,0,Euteleostomi,Euteleostomi,Duplicate,Old
ENSG00000079134,ENSG00000079134,18,214520,268050,-1,0.584402216980412,56,Bilateria,Bilateria,Singleton,Old
ENSG00000079150,ENSG00000079150,2,179328391,179343327,-1,0.330906901533484,492,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000079156,ENSG00000079156,2,179059208,179264160,1,0.359490007535809,84,Chordata,Euteleostomi,Duplicate,Old
ENSG00000079215,ENSG00000079215,5,36606457,36688436,1,0.353464367281173,255.5,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000079246,ENSG00000079246,2,216972187,217071026,1,0.124559428111204,317.5,Bilateria,Bilateria,Singleton,Old
ENSG00000079257,ENSG00000079257,3,158363611,158390482,-1,0.594933614102741,68.5,Euteleostomi,Sarcopterygii,Duplicate,Old
ENSG00000079277,ENSG00000079277,1,47023090,47082515,-1,0.0264757163297603,608.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000079308,ENSG00000079308,2,218664512,218867718,-1,0.410096503689956,57,Bilateria,Euteleostomi,Duplicate,Old
ENSG00000079313,ENSG00000079313,19,1815248,1848452,-1,0.181270322744496,391,Fungi-Metazoa_group,Eutheria,Duplicate,Middle
ENSG00000079332,ENSG00000079332,10,71907045,71930279,-1,0.169244138468293,332,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000079335,ENSG00000079335,1,100810584,100985833,1,0.198536184142049,709.5,Fungi-Metazoa_group,Euteleostomi,Duplicate,Old
ENSG00000079337,ENSG00000079337,12,48128455,48164823,-1,0.0759523037416748,6,Bilateria,Euteleostomi,Duplicate,Old
