GeneID	Prot	FamilyAge	GeneAge	GeneType
ENSMUSG00000022378	ENSMUSP00000066359	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000049241	ENSMUSP00000129280	Euteleostomi	Mammalia	Duplicate
ENSMUSG00000045502	ENSMUSP00000054104	Euteleostomi	Mammalia	Duplicate
ENSMUSG00000071311	ENSMUSP00000089237	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000036067	ENSMUSP00000049103	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000026791	ENSMUSP00000028129	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000008874	ENSMUSP00000009018	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000025784	ENSMUSP00000026890	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000004473	ENSMUSP00000004587	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000043501	ENSMUSP00000036598	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000068220	ENSMUSP00000086795	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000025153	ENSMUSP00000052872	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000021786	ENSMUSP00000022311	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000043964	ENSMUSP00000050279	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000049686	ENSMUSP00000113097	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000039747	ENSMUSP00000037137	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000027287	ENSMUSP00000112138	Bilateria	Bilateria	Duplicate
ENSMUSG00000027273	ENSMUSP00000028727	Bilateria	Bilateria	Duplicate
ENSMUSG00000097239	ENSMUSP00000102880	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000071072	ENSMUSP00000050292	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000097487	ENSMUSP00000099391	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000075528	ENSMUSP00000067912	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000047881	ENSMUSP00000118125	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000008318	ENSMUSP00000008462	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000044024	ENSMUSP00000135556	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000039257	ENSMUSP00000044002	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000037843	ENSMUSP00000105149	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000048834	ENSMUSP00000105272	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000064302	ENSMUSP00000042266	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000033392	ENSMUSP00000130201	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000055409	ENSMUSP00000080550	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000022454	ENSMUSP00000131665	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000034295	ENSMUSP00000041361	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000014778	ENSMUSP00000014922	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000026867	ENSMUSP00000099864	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000025340	ENSMUSP00000026390	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000073433	ENSMUSP00000025019	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000025132	ENSMUSP00000063714	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000030220	ENSMUSP00000032344	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000030814	ENSMUSP00000057937	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000029438	ENSMUSP00000031391	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000029681	ENSMUSP00000031692	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000039760	ENSMUSP00000042642	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000037157	ENSMUSP00000099605	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000020007	ENSMUSP00000020185	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000053510	ENSMUSP00000068328	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000056999	ENSMUSP00000121358	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000053907	ENSMUSP00000087118	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000037798	ENSMUSP00000044288	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000028433	ENSMUSP00000030143	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000042520	ENSMUSP00000066138	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000034833	ENSMUSP00000047284	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000037973	ENSMUSP00000045332	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000027007	ENSMUSP00000107415	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000027939	ENSMUSP00000029548	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000030091	ENSMUSP00000032179	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000046027	ENSMUSP00000074872	Chordata	Euteleostomi	Duplicate
ENSMUSG00000024378	ENSMUSP00000025236	Chordata	Euteleostomi	Duplicate
ENSMUSG00000079608	ENSMUSP00000110609	Chordata	Euteleostomi	Duplicate
ENSMUSG00000035551	ENSMUSP00000036974	Chordata	Euteleostomi	Duplicate
ENSMUSG00000025213	ENSMUSP00000107579	Chordata	Euteleostomi	Duplicate
ENSMUSG00000036256	ENSMUSP00000128318	Chordata	Euteleostomi	Duplicate
ENSMUSG00000042632	ENSMUSP00000134672	Bilateria	Bilateria	Duplicate
ENSMUSG00000036257	ENSMUSP00000043286	Bilateria	Bilateria	Duplicate
ENSMUSG00000017057	ENSMUSP00000033418	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000031289	ENSMUSP00000033646	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000005364	ENSMUSP00000129781	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000039676	ENSMUSP00000035663	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000035694	ENSMUSP00000129887	Bilateria	Chordata	Duplicate
ENSMUSG00000038212	ENSMUSP00000118180	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000089911	ENSMUSP00000029570	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000044005	ENSMUSP00000047376	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000026103	ENSMUSP00000110158	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000008683	ENSMUSP00000127791	FungiMetazoa	FungiMetazoa	Singleton
ENSMUSG00000039263	ENSMUSP00000042808	Bilateria	Bilateria	Duplicate
ENSMUSG00000039682	ENSMUSP00000040222	Bilateria	Bilateria	Duplicate
ENSMUSG00000039117	ENSMUSP00000038610	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000054321	ENSMUSP00000126909	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000074698	ENSMUSP00000096829	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000046707	ENSMUSP00000055919	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000051497	ENSMUSP00000136382	Bilateria	Chordata	Duplicate
ENSMUSG00000079436	ENSMUSP00000108838	Bilateria	Chordata	Duplicate
ENSMUSG00000024131	ENSMUSP00000024944	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000010095	ENSMUSP00000130194	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000014195	ENSMUSP00000014339	Bilateria	Bilateria	Duplicate
ENSMUSG00000022136	ENSMUSP00000022734	Bilateria	Bilateria	Duplicate
ENSMUSG00000058638	ENSMUSP00000004614	Amniota	Mus.musculus	Duplicate
ENSMUSG00000070822	ENSMUSP00000047088	Amniota	Theria	Duplicate
ENSMUSG00000021514	ENSMUSP00000119114	Amniota	Mus.musculus	Duplicate
ENSMUSG00000028495	ENSMUSP00000099878	FungiMetazoa	FungiMetazoa	Singleton
ENSMUSG00000024045	ENSMUSP00000002699	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000029290	ENSMUSP00000031227	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000002625	ENSMUSP00000051389	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000004071	ENSMUSP00000004173	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000022500	ENSMUSP00000023143	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000045589	ENSMUSP00000052507	Bilateria	Bilateria	Duplicate
ENSMUSG00000033386	ENSMUSP00000039487	Bilateria	Bilateria	Duplicate
ENSMUSG00000021646	ENSMUSP00000022148	Bilateria	Bilateria	Duplicate
ENSMUSG00000032527	ENSMUSP00000035116	Bilateria	Bilateria	Duplicate
ENSMUSG00000055452	ENSMUSP00000066020	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000075600	ENSMUSP00000098106	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000029625	ENSMUSP00000069243	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000018727	ENSMUSP00000097819	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000053046	ENSMUSP00000074969	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000035390	ENSMUSP00000039517	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000029499	ENSMUSP00000031472	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000090262	ENSMUSP00000115292	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000035559	ENSMUSP00000037929	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000020405	ENSMUSP00000020672	Chordata	Euteleostomi	Duplicate
ENSMUSG00000054422	ENSMUSP00000064655	Chordata	Euteleostomi	Duplicate
ENSMUSG00000020917	ENSMUSP00000103012	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000052738	ENSMUSP00000065113	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000032109	ENSMUSP00000126555	Euteleostomi	Euteleostomi	Singleton
ENSMUSG00000017760	ENSMUSP00000017904	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000052955	ENSMUSP00000131462	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000032187	ENSMUSP00000096547	FungiMetazoa	Chordata	Duplicate
ENSMUSG00000024921	ENSMUSP00000025862	FungiMetazoa	Chordata	Duplicate
ENSMUSG00000042851	ENSMUSP00000105949	Bilateria	Amniota	Duplicate
ENSMUSG00000059273	ENSMUSP00000096386	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000027387	ENSMUSP00000028866	Bilateria	Amniota	Duplicate
ENSMUSG00000030655	ENSMUSP00000032891	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000028991	ENSMUSP00000099510	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000029314	ENSMUSP00000108508	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000031545	ENSMUSP00000127325	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000037664	ENSMUSP00000128828	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000023067	ENSMUSP00000023829	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000003031	ENSMUSP00000065832	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000056004	ENSMUSP00000069165	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000040412	ENSMUSP00000040128	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000042105	ENSMUSP00000045910	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000025240	ENSMUSP00000026270	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000072946	ENSMUSP00000115704	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000028378	ENSMUSP00000030069	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000041846	ENSMUSP00000129654	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000079513	ENSMUSP00000109591	FungiMetazoa	Murinae	Duplicate
ENSMUSG00000020463	ENSMUSP00000020755	FungiMetazoa	Eutheria	Duplicate
ENSMUSG00000035387	ENSMUSP00000085471	FungiMetazoa	Murinae	Duplicate
ENSMUSG00000030172	ENSMUSP00000139031	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000040640	ENSMUSP00000087773	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000050627	ENSMUSP00000117509	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000023019	ENSMUSP00000023760	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000091086	ENSMUSP00000131802	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000029614	ENSMUSP00000031617	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000012535	ENSMUSP00000012679	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000033365	ENSMUSP00000035989	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000032741	ENSMUSP00000042188	Chordata	Chordata	Duplicate
ENSMUSG00000048677	ENSMUSP00000061308	Chordata	Chordata	Duplicate
ENSMUSG00000048218	ENSMUSP00000059913	Chordata	Euteleostomi	Duplicate
ENSMUSG00000050947	ENSMUSP00000102267	Chordata	Euteleostomi	Duplicate
ENSMUSG00000032593	ENSMUSP00000082137	Chordata	Euteleostomi	Duplicate
ENSMUSG00000019815	ENSMUSP00000019954	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000045064	ENSMUSP00000051664	Bilateria	Bilateria	Duplicate
ENSMUSG00000043542	ENSMUSP00000054734	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000024682	ENSMUSP00000025585	Chordata	Tetrapoda	Duplicate
ENSMUSG00000020432	ENSMUSP00000105620	Chordata	Euteleostomi	Duplicate
ENSMUSG00000041237	ENSMUSP00000035417	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000032294	ENSMUSP00000034834	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000023978	ENSMUSP00000024773	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000071648	ENSMUSP00000093961	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000026926	ENSMUSP00000075762	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000030884	ENSMUSP00000033176	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000084883	ENSMUSP00000125757	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000032878	ENSMUSP00000090941	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000095098	ENSMUSP00000137537	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000028339	ENSMUSP00000099981	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000001435	ENSMUSP00000101049	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000032409	ENSMUSP00000034980	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000022672	ENSMUSP00000023352	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000018076	ENSMUSP00000098379	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000034297	ENSMUSP00000044268	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000027406	ENSMUSP00000028892	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000017978	ENSMUSP00000018122	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000054423	ENSMUSP00000064706	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000050071	ENSMUSP00000060005	Eutheria	Murinae	Duplicate
ENSMUSG00000046432	ENSMUSP00000136952	Eutheria	Eutheria	Duplicate
ENSMUSG00000075269	ENSMUSP00000097570	Eutheria	Mus.musculus	Duplicate
ENSMUSG00000042750	ENSMUSP00000043113	Eutheria	Murinae	Duplicate
ENSMUSG00000047844	ENSMUSP00000112226	Eutheria	Mus.musculus	Duplicate
ENSMUSG00000030827	ENSMUSP00000033099	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000000182	ENSMUSP00000000186	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000031073	ENSMUSP00000033389	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000037071	ENSMUSP00000036936	FungiMetazoa	Murinae	Duplicate
ENSMUSG00000025203	ENSMUSP00000026221	FungiMetazoa	Murinae	Duplicate
ENSMUSG00000050195	ENSMUSP00000059860	FungiMetazoa	Murinae	Duplicate
ENSMUSG00000025202	ENSMUSP00000026220	FungiMetazoa	Murinae	Duplicate
ENSMUSG00000036932	ENSMUSP00000041104	Bilateria	Bilateria	Duplicate
ENSMUSG00000022763	ENSMUSP00000023448	Bilateria	Bilateria	Duplicate
ENSMUSG00000019278	ENSMUSP00000019422	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000053687	ENSMUSP00000080659	Bilateria	Eutheria	Duplicate
ENSMUSG00000031898	ENSMUSP00000034371	Bilateria	Eutheria	Duplicate
ENSMUSG00000074825	ENSMUSP00000106016	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000095115	ENSMUSP00000136409	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000079254	ENSMUSP00000093697	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000025630	ENSMUSP00000026723	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000039108	ENSMUSP00000055036	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000066568	ENSMUSP00000082723	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000024982	ENSMUSP00000076157	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000025157	ENSMUSP00000026154	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000046108	ENSMUSP00000056008	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000041872	ENSMUSP00000046960	Euteleostomi	Mammalia	Duplicate
ENSMUSG00000025929	ENSMUSP00000027061	Euteleostomi	Mammalia	Duplicate
ENSMUSG00000059149	ENSMUSP00000116282	Chordata	Chordata	Duplicate
ENSMUSG00000071335	ENSMUSP00000093420	Chordata	Murinae	Duplicate
ENSMUSG00000038528	ENSMUSP00000126439	Chordata	Murinae	Duplicate
ENSMUSG00000096687	ENSMUSP00000136934	Chordata	Murinae	Duplicate
ENSMUSG00000039339	ENSMUSP00000040384	Chordata	Mus.musculus	Duplicate
ENSMUSG00000038522	ENSMUSP00000128324	Chordata	Mus.musculus	Duplicate
ENSMUSG00000049184	ENSMUSP00000065002	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000094483	ENSMUSP00000136957	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000043991	ENSMUSP00000059404	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000039047	ENSMUSP00000045351	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000021190	ENSMUSP00000021607	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000001552	ENSMUSP00000001592	Bilateria	Bilateria	Duplicate
ENSMUSG00000006932	ENSMUSP00000007130	Bilateria	Bilateria	Duplicate
ENSMUSG00000023025	ENSMUSP00000097780	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000033499	ENSMUSP00000089437	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000019838	ENSMUSP00000090227	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000033965	ENSMUSP00000037629	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000056553	ENSMUSP00000064046	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000026204	ENSMUSP00000027404	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000022051	ENSMUSP00000022634	Chordata	Euteleostomi	Duplicate
ENSMUSG00000078566	ENSMUSP00000101718	Chordata	Euteleostomi	Duplicate
ENSMUSG00000022868	ENSMUSP00000023583	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000022871	ENSMUSP00000023587	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000036087	ENSMUSP00000115871	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000055717	ENSMUSP00000070592	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000034839	ENSMUSP00000040309	Bilateria	Bilateria	Duplicate
ENSMUSG00000027968	ENSMUSP00000029588	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000066107	ENSMUSP00000122212	Bilateria	Mus.musculus	Duplicate
ENSMUSG00000032724	ENSMUSP00000075566	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000020042	ENSMUSP00000100944	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000005667	ENSMUSP00000005810	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000029376	ENSMUSP00000071578	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000039221	ENSMUSP00000043111	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000028936	ENSMUSP00000118787	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000022015	ENSMUSP00000022592	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000039304	ENSMUSP00000040271	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000007944	ENSMUSP00000008088	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000042734	ENSMUSP00000048590	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000071660	ENSMUSP00000094513	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000034171	ENSMUSP00000041543	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000042535	ENSMUSP00000043575	Bilateria	Bilateria	Duplicate
ENSMUSG00000023952	ENSMUSP00000024748	Bilateria	Bilateria	Duplicate
ENSMUSG00000098559	ENSMUSP00000138884	FungiMetazoa	Eutheria	Duplicate
ENSMUSG00000031320	ENSMUSP00000033683	FungiMetazoa	Eutheria	Duplicate
ENSMUSG00000063171	ENSMUSP00000071658	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000046411	ENSMUSP00000049881	FungiMetazoa	Mus.musculus	Duplicate
ENSMUSG00000029759	ENSMUSP00000031773	Bilateria	Theria	Duplicate
ENSMUSG00000032667	ENSMUSP00000062670	Bilateria	Theria	Duplicate
ENSMUSG00000002588	ENSMUSP00000002663	Bilateria	Theria	Duplicate
ENSMUSG00000070720	ENSMUSP00000092253	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000049420	ENSMUSP00000064080	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000095407	ENSMUSP00000137246	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000035125	ENSMUSP00000035644	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000022974	ENSMUSP00000113835	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000032449	ENSMUSP00000082302	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000028982	ENSMUSP00000101311	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000097565	ENSMUSP00000137830	Theria	Mus.musculus	Duplicate
ENSMUSG00000098781	ENSMUSP00000049225	Theria	Mus.musculus	Duplicate
ENSMUSG00000098692	ENSMUSP00000126669	Theria	Mus.musculus	Duplicate
ENSMUSG00000058246	ENSMUSP00000051123	Theria	Mus.musculus	Duplicate
ENSMUSG00000025515	ENSMUSP00000026590	Chordata	Euteleostomi	Duplicate
ENSMUSG00000022353	ENSMUSP00000079239	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000033763	ENSMUSP00000050211	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000030759	ENSMUSP00000033018	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000030303	ENSMUSP00000107234	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000026497	ENSMUSP00000027778	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000044542	ENSMUSP00000057231	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000001103	ENSMUSP00000001130	Bilateria	Euteleostomi	Duplicate
ENSMUSG00000050141	ENSMUSP00000060318	Theria	Eutheria	Duplicate
ENSMUSG00000094293	ENSMUSP00000137057	Theria	Mus.musculus	Duplicate
ENSMUSG00000095755	ENSMUSP00000135981	Theria	Mus.musculus	Duplicate
ENSMUSG00000094576	ENSMUSP00000137502	Theria	Mus.musculus	Duplicate
ENSMUSG00000079774	ENSMUSP00000111576	Theria	Mus.musculus	Duplicate
ENSMUSG00000078722	ENSMUSP00000103615	Theria	Mus.musculus	Duplicate
ENSMUSG00000096256	ENSMUSP00000081728	Theria	Mus.musculus	Duplicate
ENSMUSG00000094066	ENSMUSP00000136864	Theria	Mus.musculus	Duplicate
ENSMUSG00000093996	ENSMUSP00000137159	Theria	Mus.musculus	Duplicate
ENSMUSG00000095779	ENSMUSP00000136536	Theria	Mus.musculus	Duplicate
ENSMUSG00000078746	ENSMUSP00000103661	Theria	Mus.musculus	Duplicate
ENSMUSG00000078721	ENSMUSP00000103613	Theria	Mus.musculus	Duplicate
ENSMUSG00000093909	ENSMUSP00000095723	Theria	Mus.musculus	Duplicate
ENSMUSG00000096646	ENSMUSP00000136687	Theria	Mus.musculus	Duplicate
ENSMUSG00000095552	ENSMUSP00000136168	Theria	Mus.musculus	Duplicate
ENSMUSG00000095207	ENSMUSP00000136969	Theria	Mus.musculus	Duplicate
ENSMUSG00000096237	ENSMUSP00000136196	Theria	Mus.musculus	Duplicate
ENSMUSG00000031146	ENSMUSP00000033486	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000031875	ENSMUSP00000034343	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000040759	ENSMUSP00000036138	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000057762	ENSMUSP00000132645	Euteleostomi	Mus.musculus	Duplicate
ENSMUSG00000028029	ENSMUSP00000029663	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000028811	ENSMUSP00000001365	FungiMetazoa	Bilateria	Duplicate
ENSMUSG00000079025	ENSMUSP00000105752	Amniota	Mus.musculus	Duplicate
ENSMUSG00000056293	ENSMUSP00000087344	Amniota	Mus.musculus	Duplicate
ENSMUSG00000062543	ENSMUSP00000071747	Amniota	Mus.musculus	Duplicate
ENSMUSG00000017204	ENSMUSP00000017348	Amniota	Mus.musculus	Duplicate
ENSMUSG00000022575	ENSMUSP00000023238	Amniota	Theria	Duplicate
ENSMUSG00000055827	ENSMUSP00000087339	Amniota	Mus.musculus	Duplicate
ENSMUSG00000055748	ENSMUSP00000066072	Amniota	Mus.musculus	Duplicate
ENSMUSG00000017211	ENSMUSP00000091470	Amniota	Mus.musculus	Duplicate
ENSMUSG00000093867	ENSMUSP00000137240	Amniota	Mus.musculus	Duplicate
ENSMUSG00000064224	ENSMUSP00000073022	Amniota	Mus.musculus	Duplicate
ENSMUSG00000074736	ENSMUSP00000105560	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000071234	ENSMUSP00000093206	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000061702	ENSMUSP00000078407	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000022546	ENSMUSP00000023203	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000031700	ENSMUSP00000034136	FungiMetazoa	Euteleostomi	Duplicate
ENSMUSG00000020297	ENSMUSP00000020537	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000025468	ENSMUSP00000130779	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000029126	ENSMUSP00000031009	Euteleostomi	Euteleostomi	Duplicate
ENSMUSG00000020622	ENSMUSP00000002456	Chordata	Euteleostomi	Duplicate
ENSMUSG00000054958	ENSMUSP00000069422	Chordata	Euteleostomi	Duplicate
ENSMUSG00000029776	ENSMUSP00000031788	Bilateria	Bilateria	Duplicate
ENSMUSG00000022536	ENSMUSP00000111510	Bilateria	Bilateria	Duplicate
ENSMUSG00000034663	ENSMUSP00000037970	FungiMetazoa	Euteleostomi	Duplicate
